车型名称,品牌,上市/发布时间,价格区间,车型定位,车身尺寸,轴距,动力类型,系统功率,0-100km/h,电池容量,CLTC续航,智驾芯片,激光雷达,计算力TOPS,座舱芯片,屏幕配置,核心亮点1,核心亮点2,核心亮点3,核心亮点4,核心亮点5,竞品1,竞品2,竞品3,信息来源
零跑A05,零跑,2026-08-11上市,6.39-9.09,A0级纯电精品轿车,4200×1800×1560,2605,纯电,90,待查,39.8/53,405/510,高通8650,可选1颗,200,高通8295P,8.8寸仪表+14.6寸2.5K中控,CTC2.0 Plus电池底盘一体化,2.5C超充16分钟30-80%,88.4%得房率,4.9米转弯半径,车位到车位全场景智驾,吉利星愿,比亚迪海鸥,五菱缤果,懂车帝/央广网/易车
2027款海豹06 DM-i,比亚迪,2026-08-11上市,9.99-14.19,B级插混家轿,4870×1890×1495,2820,插混,175,7.5,25.287/34.275,230/320,待查,可选,待查,待查,待查,第二代刀片电池,天神之眼B激光版,CTB车身,800V平台,云辇-C(高配),综合续航2370km,秦L DM-i,大众ID.ERA 5S,深蓝L07,汽车之家/凤凰网/易车
2027款海豹06 EV,比亚迪,2026-08-11上市,10.99-15.59,B级纯电家轿,4870×1890×1495,2820,纯电,240,5.9,52.868/64.315,530/630,待查,可选,待查,待查,待查,800V高压平台,第二代刀片电池,15分钟补能130km,天神之眼B激光版,CTB车身,云辇-C(高配),秦L EV,小鹏MONA M03,深蓝L07,汽车之家/凤凰网/易车
小鹏G9L,小鹏,2026-08-11预售,25.98起(预),30万级大五座科技旗舰SUV,5120×1999×1782,3100,纯电/增程,待查,4.45/4.95,待查,755/435(增程),待查,待查,待查,待查,待查,5C超充9分钟450km,后轮线控转向(5.4m转弯),第二代VLA,AI主动贴合零重力座椅,56000N·m/deg扭转刚度,理想L7,问界M7,魏牌V8X,小鹏官网/央广网
上汽大众ID.ERA 5S,上汽大众,2026-08-11预售,11.59-14.59(预),合资插混智能家轿,4836×1880×1505,2766,插混,130(电机),待查,19.1,160,地平线征程,无(纯视觉),待查,待查,15.6寸2.5K中控+AR-HUD,大众全球首款城市NOA轿车,行云智行(酷睿程),综合续航2000km+,亏电油耗2.82L,86%高强钢,比亚迪秦L DM-i,海豹06 DM-i,小鹏MONA M03,网易/中国经济网/汽车之家
比亚迪秦MAX DM-i,比亚迪,2026-08-13上市,9.99-12.99,B级插混轿车,4866×1880×1495,2820,插混,175,7.5,25.287/34.275,230/320,待查,可选,待查,待查,15.6寸中控+8.8寸仪表+10.8寸HUD,二代刀片电池,天神之眼B激光版(选装),综合续航2380km,亏电油耗2.59L,云辇-C(高配),小鹏MONA M03,深蓝L06,银河星耀7,新华网/太平洋汽车
比亚迪秦MAX EV,比亚迪,2026-08-13上市,10.99-14.39,B级纯电轿车,4866×1880×1495,2820,纯电,240,5.9,52.868/64.315,530/630,待查,可选,待查,待查,15.6寸中控+8.8寸仪表+10.8寸HUD,二代刀片闪充9分钟97%,前双球头麦弗逊+后五连杆,云辇-C(高配),天神之眼B激光版,迪迪虾AI智能体,小鹏MONA M03,深蓝L06,银河星耀7,新华网/太平洋汽车
全新红旗H7 PHEV,红旗,2026-08-13预售,18.18-22.18(诚意价),中大型豪华插混轿车,5060×1910×1480,2970,插混,479(四驱),待查,23.9/30.3,240/210,待查,无(视觉司南),待查,高通8295P,15.6寸2.5K中控+30寸AR-HUD,鸿鹄插混1954km综合续航,灵犀座舱5.0+豆包大模型,司南智驾城市NOA,全系CDC,9气囊+22项主动安全,比亚迪汉DM-i,吉利银河E8,岚图追光,太平洋汽车/腾讯网
魏牌V8X,魏牌,2026-08-14上市,22.68-30.28(权益价),智慧驾控大五座旗舰SUV,5125×2025×1821,3050,插混,500,4.5/4.7,42.8/53.6/64.7,258/324/402,Thor-U,标配1颗,700,待查,待查,2.0T四挡Hi4超级混动,800V 6C超充9分钟,双向20°后轮转向,闭式双腔空悬+EDC,双VLA原生AI舱驾,理想L7,问界M7,小鹏G9L,腾讯网/太平洋汽车
岚图追光S,岚图,2026-08-15上市,30.99(预),30万级纯电轿跑SUV(FUV),5050×1998×1656,3000,纯电,475,4.5,81.6/98.1,630/700,华为ADS 5,标配4颗,待查,待查,中控+副驾连屏+29寸AR-HUD,华为乾崑ADS 5四激光雷达,800V 5C超充16分钟30-80%,虎踞D智能底盘,鸿蒙座舱5.2,3秒级零百,小米YU7,智界R7,Model Y,太平洋汽车/易车
荣威家越07,荣威,2026-08-13首发盲订,15-20(预),AI原生大五座增程SUV,4900×1910×1745,2908,增程,162,待查,32.6/44.2,150/320, Momenta R7,高配可选,待查,高通8155,双15.6寸2.5K屏,火山引擎豆包大模型2.0, Momenta R7世界模型智驾,零重力座椅,320km纯电+1480km综合,车载制冰冰箱,理想L6,深蓝S07,比亚迪唐DM-i,新浪/网易/汽车之家
神行者8,奇瑞捷豹路虎,2026-08-14预售,待公布,豪华全地形增程SUV,5118×待查×待查,待查,增程,待查,待查,60.331,221,华为ADS 5,896线1颗,待查,8397,远端带鱼屏+中控大屏,路虎IP方正造型,华为乾崑ADS 5,非承载车身+三把锁,双腔空悬,六座布局,坦克500,方程豹豹8,仰望U8,百度有驾/懂车帝
新款别克GL8陆尚,别克,2026-08-13上市,约23起(参),商务MPV,5219×待查×待查,待查,插混,292,待查,24.4,142,待查,无,待查,待查,待查,真龙插混,142km纯电+1420km综合,270余项升级,二排航空座椅,隔音材料升级,丰田赛那,腾势D9,岚图梦想家,百度有驾
2027款奇瑞艾瑞泽8 PRO,奇瑞,2026-08-10上市,约11起(参),燃油紧凑型家轿,4780×待查×待查,待查,燃油,187,6秒级,无,无,待查,无,待查,高通8255,液晶仪表+悬浮中控,1.6T/2.0T燃油动力,8255芯片+猎鹰智驾,电子怀挡,座椅通风,无,吉利星瑞,长安UNI-V,大众朗逸,百度有驾
