车型名称,品牌,上市/发布时间,价格区间,车型定位,车身尺寸,轴距,动力类型,系统功率,0-100km/h,电池容量,CLTC续航,智驾芯片,激光雷达,计算力TOPS,座舱芯片,屏幕配置,核心亮点1,核心亮点2,核心亮点3,核心亮点4,核心亮点5,竞品1,竞品2,竞品3,信息来源
魏牌V8X,魏牌,2026-08-14上市,23.98-31.58,中大型五座插混SUV,5040-5125/2025/1808-1823,2968-3050,插混,500,4.5,42.8-66.7,402,Thor-U,1,700,8295P,待查,超级Hi4 2.0T四挡DHT,800V+6C超充9min30-80%,闭式双腔空悬+EDC+20°后轮转向,双VLA原生AI舱驾智能体,终身免费全场景NOA,理想L8,问界M8,腾势N8L,易车/杭州日报/今日头条
岚图追光S,岚图,2026-08-15上市,22.99-27.99, C+级纯电SUV(科技FUV),待查,待查,纯电,400,4.7,98,740,华为乾崑ADS5,4,待查,鸿蒙座舱5.2,待查,全系四激光雷达(896线+3补盲),800V+5C 15min补577km,虎踞底盘R-EPS转向<0.1s,48415Nm/deg扭转刚度,鸿蒙座舱5.2,小米YU7,智界RX,特斯拉Model Y,央视/央广网/今日头条
比亚迪大汉EV,比亚迪,2026-08-21预售,24.99-29.99,D+级旗舰纯电轿车,5256/1999/1510,3130,纯电,待查,3.3,待查,1008,天神之眼B激光版,1,待查,待查,待查,第二代刀片电池CLTC1008km,闪充5min10-70%/9min97%,全系后轮转向转弯半径4.95m,云辇-A双腔空悬100mm升降,天神之眼B+5.0城市领航兜底,小米SU7,享界S9,宝马i5,凤凰网/中国经济网/中国网
享界G9,鸿蒙智行(北汽),2026-08-20上市,42.98-54.98,大型硬派SUV,5377/2050/1897,3160,纯电/增程,437,待查,56-120,728(纯电)/1366(增程),华为乾崑ADS5,1(896线双光路),待查,待查,内嵌式寰宇三联屏+17寸吸顶屏+68寸AR-HUD,首款L3架构硬派SUV(120km/h路测牌照),华为全地形途灵平台+800V可断开稳定杆,896线激光+38传感器+ADS5,±12°后轮转向+800mm涉水,玄武架构2000MPa热成型钢,仰望U8,猛士917,路虎卫士,央广网/中国经济网/腾讯
智界RX,鸿蒙智行(奇瑞),2026-08-20预售,29.98-39.98,中大型纯电轿跑SUV,5020/2007/1585,3000,纯电,437,3.3,81.1-100.4,852,华为乾崑ADS5,4,待查,待查,16.1寸随动中控屏+26寸HUD,四激光雷达矩阵(896线+3固态)+L3架构,100度电池852km,前AMG主席调校虚拟主销双叉臂+双腔空悬,50000+Nm/deg扭转刚度,华为巨鲸电池黑匣子技术,小米YU7,岚图追光S,宝马iX3,太平洋汽车/新浪/网通社
上汽大众ID.ERA 5S,上汽大众,2026-08-21上市,11.99-14.99,中型插混轿车,4836/1880/1505,2766,插混,130,待查,19.1,160,地平线HSD定制,1,待查,8295P,8.8寸仪表+15.6寸2.5K中控,大众全球首款城市NOA轿车,1.5L插混160km纯电+2000km综合,2.82L亏电油耗+92号油,德系高刚性车身+本土化调校,酷睿程HS8行云智行,比亚迪秦L DM-i,荣威D7 DMH,深蓝SL03,凤凰网/腾讯/IT之家
MG 07,上汽名爵,2026-08-21上市,10.89-15.99,中型纯电/插混轿跑,4886/1900/1478-1485,2825,纯电/插混,235,5.9,67-91,845, Xheart X7(Momenta R7),1,待查,8295P,15.6寸2.5K中控,845km+800V+5C(12min30-80%),67度半固态电池(全球唯一量产),Momenta R7世界模型+激光雷达下放11万,18合1 HeatMatrix主动散热电机,上市1分57秒大定破万,深蓝SL03,比亚迪秦L EV,小鹏MONA M03,网易/腾讯/今日头条
东风风神L8Y,东风风神,2026-08-21上市,10.09-11.99,紧凑型纯电SUV,4688/1900/1617,2775,纯电,135,待查,61.83,535,待查,0,待查,8155,50寸AR-HUD+15.6寸2.5K中控,9万级大满配纯电SUV,61.83度马赫电池535km+3C快充,8155+50寸AR-HUD+双AI大模型,主副驾云柔大沙发平权,零甲醛零苯双认证,比亚迪元PLUS,广汽埃安Y,哪吒X,央广网/新浪/凤凰网
荣威家越07,上汽荣威,2026-08-13盲订,15万级(盲订中),中大型增程五座SUV,4900/1910/1753,2908,增程,162,待查,32.6-44.2,320, Xheart X7(Momenta R7),1,待查,待查,前后双15.6寸2.5K屏,Momenta R7世界模型+激光雷达(25万配置下放15万),行业首创制冰车载冰箱(10分钟出冰),44.2度电池320km纯电+1480km综合,双零重力+双15.6寸屏,CPP AI原生架构+火山引擎豆包,华境S,零跑C16,深蓝S07,新浪/汽车之家/易车
第三代唐,比亚迪,2026-08-21首秀,预计Q4上市,大五座旗舰SUV,待查,待查,纯电/插混,待查,待查,待查,850,天神之眼B激光版,1,待查,待查,待查,天神之眼B激光版智驾,云辇-A双腔空悬+前双叉臂后五连杆,第二代刀片电池+闪充,850km续航,星际双屏组合,理想L7,问界M7,魏牌蓝山,中国经济网/央广网
享界V8,鸿蒙智行(北汽),2026-08-21首秀,待公布,中大型MPV,5335/2005/1825,3250,纯电/增程,待查,待查,120,830(纯电)/1400(增程),华为乾崑ADS5,1(896线),待查,待查,待查,华为896线激光+乾崑ADS5(L3潜力),纯电830km/增程1400km,流线型MPV设计,补齐鸿蒙智行MPV矩阵,待查,理想MEGA,小鹏X9,腾势D9,腾讯/央广网
新世代BMW iX3,宝马,2026-08-21预订,26.99-33.99,中型纯电SUV,待查,待查,纯电,待查,待查,待查,919,宝马智能驾驶辅助,0,待查,待查,待查,宝马Neue Klasse平台+全域800V,第六代eDrive CLTC最高919km,近40项高价值配置全系标配,3年免费城区领航+8年高速领航,阿里大模型BMW AI助理,特斯拉Model Y,奔驰EQA,奥迪Q6L e-tron,腾讯/央广网
